xxxx	xxxx	Part	Status	PDF	Comment	#N/A						SE	SE_URL
88417		88417	Found	C:\tools\rohs-automation\output_files\delock\88417_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/15/36/335266/deloc_/auto/88417_eu_conform.pdf	No					85645	http://download.siliconexpert.com/pdfs2/2022/4/18/8/10/36/794385/deloc_/auto/85645_eu_conform.pdf
88340		88340	Found	C:\tools\rohs-automation\output_files\delock\88340_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/8/40/43/720458/deloc_/auto/88340_eu_conform-6c.pdf	6.c					86220	http://download.siliconexpert.com/pdfs2/2024/2/29/8/22/3/703706/deloc_/auto/86220_eu_conform-6c7a.pdf
89704		89704	NotFound		PartNumber Not Found	http://download.siliconexpert.com/pdfs2/2022/4/20/1/28/12/824944/deloc_/auto/89704_eu_conform.pdf						85506	http://download.siliconexpert.com/pdfs2/2023/5/9/8/27/17/801149/deloc_/auto/85506_eu_conform.pdf
89612		89612	Found	C:\tools\rohs-automation\output_files\delock\89612_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2023/5/10/15/6/54/598410/deloc_/auto/89612_eu_conform-6c.pdf	6.c					83410	http://download.siliconexpert.com/pdfs2/2022/1/4/7/22/20/755422/deloc_/auto/83410_eu_conform.pdf
89177		89177	Found	C:\tools\rohs-automation\output_files\delock\89177_EU_conform-7c-I.pdf		http://download.siliconexpert.com/pdfs2/2024/7/12/2/11/52/250587/deloc_/auto/89177_eu_conform-7c-i.pdf	7.c-I					85350	http://download.siliconexpert.com/pdfs2/2023/5/9/10/10/38/87651/deloc_/auto/85350_eu_conform.pdf
41914		41914	NotFound		Product Tab Not found	http://download.siliconexpert.com/pdfs2/2023/5/9/15/10/16/834789/deloc_/auto/41914_eu_conform.pdf						83514	http://download.siliconexpert.com/pdfs2/2022/1/4/7/24/51/728914/deloc_/auto/83514_eu_conform.pdf
62427		62427	NotFound		Product Tab Not found	#N/A						87046	http://download.siliconexpert.com/pdfs2/2022/4/18/8/15/41/734394/deloc_/auto/87046_eu_conform.pdf
86214		86214	Found	C:\tools\rohs-automation\output_files\delock\86214_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/19/22/56/36/123929/deloc_/auto/86214_eu_conform.pdf	No					86214	http://download.siliconexpert.com/pdfs2/2022/4/19/22/56/36/123929/deloc_/auto/86214_eu_conform.pdf
62600		62600	NotFound		Product Tab Not found	http://download.siliconexpert.com/pdfs2/2022/1/4/7/17/54/44357/deloc_/auto/62600_eu_conform.pdf						87027	http://download.siliconexpert.com/pdfs2/2022/4/18/9/18/34/313645/deloc_/auto/87027_eu_conform.pdf
62792		62792	NotFound		PartNumber Not Found	#N/A						82814	http://download.siliconexpert.com/pdfs2/2022/4/18/8/51/1/602358/deloc_/auto/82814_eu_conform.pdf
12498		12498	NotFound		PartNumber Not Found	#N/A						81319	http://download.siliconexpert.com/pdfs2/2022/1/4/7/36/40/982765/deloc_/auto/81319_eu_conform.pdf
47224		47224	NotFound		PartNumber Not Found	http://download.siliconexpert.com/pdfs2/2023/5/9/11/1/49/59585/deloc_/auto/47224_eu_conform.pdf						86933	http://download.siliconexpert.com/pdfs2/2023/5/9/8/41/55/744398/deloc_/auto/86933_eu_conform.pdf
12583		12583	Found	C:\tools\rohs-automation\output_files\delock\12583_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/15/58/27/33348/deloc_/auto/12583_eu_conform-6c.pdf	6.c					85766	http://download.siliconexpert.com/pdfs2/2023/5/9/8/59/3/94782/deloc_/auto/85766_eu_conform.pdf
18026		18026	NotFound		PartNumber Not Found	#N/A						85504	http://download.siliconexpert.com/pdfs2/2023/5/9/8/26/44/776100/deloc_/auto/85504_eu_conform.pdf
